Mag,Phase,band
16.855451367396853,0.0,g
16.858142573426143,0.001,g
16.8608572778919,0.002,g
16.863592033276486,0.003,g
16.866343444271656,0.004,g
16.869108174584095,0.005,g
16.871882953514113,0.006,g
16.874664582288727,0.007,g
16.877449940131847,0.008,g
16.880235990055084,0.009000000000000001,g
16.883019784353664,0.01,g
16.885798469793354,0.011,g
16.88856929247532,0.012,g
16.891329602367062,0.013000000000000001,g
16.89407685748891,0.014,g
16.896808627746708,0.015,g
16.899522598402786,0.016,g
16.90221657317845,0.017,g
16.904888476982702,0.018000000000000002,g
16.907536358263208,0.019,g
16.910158390976743,0.02,g
16.912752876177912,0.021,g
16.915318243226086,0.022,g
16.917853050611836,0.023,g
16.92035598640551,0.024,g
16.922825868331927,0.025,g
16.9252616434761,0.026000000000000002,g
16.927662387626693,0.027,g
16.930027304264346,0.028,g
16.932355723203884,0.029,g
16.93464709889999,0.03,g
16.936901008427306,0.031,g
16.939117149146565,0.032,g
16.941295336069825,0.033,g
16.943435498938204,0.034,g
16.945537679026707,0.035,g
16.94760202569139,0.036000000000000004,g
16.949628792674734,0.037,g
16.95161833418584,0.038,g
16.95357110077259,0.039,g
16.955487635003298,0.04,g
16.957368566975937,0.041,g
16.959214609673367,0.042,g
16.96102655418305,0.043000000000000003,g
16.962805264800227,0.044,g
16.964551674033427,0.045,g
16.96626677753139,0.046,g
16.967951628950292,0.047,g
16.969607334780186,0.048,g
16.97123504914941,0.049,g
16.972835968625375,0.05,g
16.974411327029937,0.051000000000000004,g
16.975962390287116,0.052000000000000005,g
16.977490451320527,0.053,g
16.978996825017393,0.054,g
16.980482843275436,0.055,g
16.98194985014826,0.056,g
16.983399197104394,0.057,g
16.98483223841412,0.058,g
16.98625032667774,0.059000000000000004,g
16.987654808507955,0.06,g
16.989047020378308,0.061,g
16.99042828464857,0.062,g
16.991799905777278,0.063,g
16.993163166730547,0.064,g
16.994519325595267,0.065,g
16.99586961240402,0.066,g
16.99721522617778,0.067,g
16.99855733219176,0.068,g
16.999897059468417,0.069,g
