Mag,Phase,band
16.47216445447573,0.0,g
16.472141274893897,0.001,g
16.472136962639382,0.002,g
16.472151347074668,0.003,g
16.472184248876943,0.004,g
16.47223548028952,0.005,g
16.47230484538015,0.006,g
16.47239214030595,0.007,g
16.472497153584616,0.008,g
16.472619666371678,0.009000000000000001,g
16.472759452743393,0.01,g
16.472916279985093,0.011,g
16.47308990888448,0.012,g
16.473280094029764,0.013000000000000001,g
16.473486584112123,0.014,g
16.473709122232314,0.015,g
16.473947446210946,0.016,g
16.474201288902226,0.017,g
16.47447037851073,0.018000000000000002,g
16.474754438910967,0.019,g
16.47505318996923,0.02,g
16.475366347867624,0.021,g
16.47569362542966,0.022,g
16.476034732447324,0.023,g
16.476389376009106,0.024,g
16.476757260828713,0.025,g
16.47713808957411,0.026000000000000002,g
16.47753156319657,0.027,g
16.47793738125933,0.028,g
16.478355242265625,0.029,g
16.478784843985622,0.03,g
16.479225883782043,0.031,g
16.479678058934066,0.032,g
16.480141066959245,0.033,g
16.480614605933017,0.034,g
16.481098374805597,0.035,g
16.481592073715863,0.036000000000000004,g
16.482095404301923,0.037,g
16.482608070008116,0.038,g
16.48312977638804,0.039,g
16.483660231403412,0.04,g
16.484199145718378,0.041,g
16.484746232989075,0.042,g
16.485301210148084,0.043000000000000003,g
16.485863797683496,0.044,g
16.48643371991241,0.045,g
16.487010705248533,0.046,g
16.487594486463593,0.047,g
16.488184800942413,0.048,g
16.488781390931315,0.049,g
16.48938400377969,0.05,g
16.489992392174436,0.051000000000000004,g
16.490606314367152,0.052000000000000005,g
16.49122553439372,0.053,g
16.49184982228629,0.054,g
16.492478954277242,0.055,g
16.493112712995142,0.056,g
16.4937508876524,0.057,g
16.494393274224493,0.058,g
16.495039675620607,0.059000000000000004,g
16.49568990184559,0.06,g
16.496343770152997,0.061,g
16.49700110518915,0.062,g
16.497661739128116,0.063,g
16.498325511797468,0.064,g
16.498992270794716,0.065,g
16.499661871594363,0.066,g
16.5003341776455,0.067,g
16.501009060459836,0.068,g
16.501686399690186,0.069,g
16.50236608319926,0.07,g
16.503048007118828,0.07100000000000001,g
16.503732075899165,0.07200000000000001,g
16.50441820234882,0.073,g
16.505106307664633,0.074,g
16.505796321452053,0.075,g
16.506488181735772,0.076,g
16.507181834960708,0.077,g
16.507877235983333,0.078,g
16.50857434805342,0.079,g
16.509273142786313,0.08,g
16.509973600125658,0.081,g
16.51067570829684,0.082,g
16.511379463751044,0.083,g
16.512084871100203,0.084,g
16.512791943042753,0.085,g
16.51350070028049,0.08600000000000001,g
16.514211171426542,0.08700000000000001,g
16.514923392904603,0.088,g
16.5156374088396,0.089,g
16.516353270939938,0.09,g
16.51707103837146,0.091,g
16.517790777623294,0.092,g
16.518512562365785,0.093,g
16.51923647330068,0.094,g
16.519962598003723,0.095,g
16.520691030759977,0.096,g
16.521421872391876,0.097,g
16.52215523008045,0.098,g
16.52289121717974,0.099,g
16.523629953024795,0.1,g
16.52437156273334,0.101,g
16.525116177001475,0.10200000000000001,g
16.52586393189357,0.10300000000000001,g
16.526614968626642,0.10400000000000001,g
16.527369433349428,0.105,g
16.52812747691649,0.106,g
16.528889254657543,0.107,g
16.529654926142303,0.108,g
16.530424654941136,0.109,g
16.53119860838176,0.11,g
16.531976957302323,0.111,g
16.532759875801105,0.112,g
16.533547540983093,0.113,g
16.534340132703864,0.114,g
16.535137833310834,0.115,g
16.535940827382447,0.116,g
16.536749301465306,0.117,g
16.537563443809802,0.11800000000000001,g
16.538383444104355,0.11900000000000001,g
16.53920949320865,0.12,g
16.540041782886163,0.121,g
16.540880505536226,0.122,g
16.541725853926007,0.123,g
16.542578020922605,0.124,g
16.54343719922567,0.125,g
16.54430358110072,0.126,g
16.545177358113538,0.127,g
16.546058720865943,0.128,g
16.546947858733123,0.129,g
16.547844959602973,0.13,g
16.54875020961755,0.131,g
16.549663792917077,0.132,g
16.55058589138668,0.133,g
16.5515166844062,0.134,g
16.55245634860324,0.135,g
16.55340505760985,0.136,g
16.554362981823044,0.137,g
16.555330288169348,0.138,g
16.55630713987378,0.139,g
16.557293696233327,0.14,g
16.558290112395355,0.14100000000000001,g
16.55929653914098,0.14200000000000002,g
16.56031312267382,0.14300000000000002,g
16.561340004414205,0.14400000000000002,g
16.56237732079917,0.145,g
16.563425203088347,0.146,g
16.564483777176054,0.147,g
16.56555316340967,0.148,g
16.56663347641461,0.149,g
16.567724824925918,0.15,g
16.568827311626862,0.151,g
16.569941032994485,0.152,g
16.571066079152406,0.153,g
16.572202533730977,0.154,g
16.57335047373491,0.155,g
16.574509969418596,0.156,g
16.575681084169123,0.157,g
16.576863874397137,0.158,g
16.5780583894358,0.159,g
16.579264671447675,0.16,g
16.58048275533987,0.161,g
16.581712668687395,0.162,g
16.5829544316648,0.163,g
16.58420805698624,0.164,g
16.58547354985389,0.165,g
16.586750907914922,0.166,g
16.588040121226875,0.167,g
16.58934117223161,0.168,g
16.5906540357378,0.169,g
16.591978678911907,0.17,g
16.59331506127777,0.171,g
16.59466313472464,0.17200000000000001,g
16.596022843523773,0.17300000000000001,g
16.59739412435343,0.17400000000000002,g
16.598776906332347,0.17500000000000002,g
16.60017111106157,0.176,g
16.60157665267454,0.177,g
16.602993437895535,0.178,g
16.604421366106138,0.179,g
16.60586032941989,0.18,g
16.607310212764876,0.181,g
16.608770893974174,0.182,g
16.610242243884098,0.183,g
16.61172412644007,0.184,g
16.613216398809968,0.185,g
16.61471891150489,0.186,g
16.616231508507152,0.187,g
16.61775402740528,0.188,g
16.619286299536014,0.189,g
16.62082815013299,0.19,g
16.622379398481996,0.191,g
16.62393985808262,0.192,g
16.62550933681611,0.193,g
