Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 16339 56451.722332 u 18.552 0.027 
 16339 56451.723139 u 18.590 0.024 
 16339 56452.499995 u 18.703 0.028 
 16339 56452.500658 u 18.661 0.030 
 16339 56452.613786 u 18.287 0.022 
 16339 56452.614566 u 18.322 0.021 
 16339 56452.702727 u 18.742 0.029 
 16339 56452.703502 u 18.727 0.033 
 16339 56452.756113 u 18.858 0.039 
 16339 56452.756899 u 18.884 0.033 
 16339 56453.481520 u 18.366 0.059 
 16339 56453.571283 u 18.251 0.019 
 16339 56453.571960 u 18.304 0.020 
 16339 56453.578740 u 18.278 0.028 
 16339 56453.579412 u 18.288 0.033 
 16339 56453.681792 u 18.765 0.048 
 16339 56453.682464 u 18.836 0.035 
 16339 56467.466971 u 18.807 0.066 
 16339 56451.721220 g 18.105 0.018 
 16339 56451.721773 g 18.015 0.016 
 16339 56452.499102 g 18.239 0.015 
 16339 56452.499554 g 18.189 0.014 
 16339 56452.612929 g 17.815 0.012 
 16339 56452.613357 g 17.760 0.015 
 16339 56452.701691 g 18.156 0.016 
 16339 56452.702231 g 18.176 0.015 
 16339 56452.755016 g 18.317 0.012 
 16339 56452.755566 g 18.247 0.012 
 16339 56453.467899 g 18.140 0.071 
 16339 56453.474437 g 17.948 0.058 
 16339 56453.479965 g 17.637 0.042 
 16339 56453.570419 g 17.796 0.015 
 16339 56453.570859 g 17.788 0.017 
 16339 56453.577840 g 17.782 0.014 
 16339 56453.578284 g 17.844 0.015 
 16339 56453.681369 g 18.047 0.053 
 16339 56453.751591 g 18.149 0.043 
 16339 56465.465990 g 18.180 0.031 
 16339 56465.466423 g 18.237 0.035 
 16339 56467.466080 g 18.161 0.031 
 16339 56451.717357 r 17.937 0.013 
 16339 56451.718102 r 17.920 0.015 
 16339 56451.718635 r 17.928 0.015 
 16339 56452.495761 r 18.042 0.013 
 16339 56452.496463 r 18.043 0.014 
 16339 56452.496898 r 18.127 0.016 
 16339 56452.502189 r 17.990 0.012 
 16339 56452.609624 r 17.771 0.011 
 16339 56452.610313 r 17.783 0.013 
 16339 56452.610753 r 17.769 0.014 
 16339 56452.697765 r 18.004 0.011 
 16339 56452.698514 r 18.032 0.015 
 16339 56452.699052 r 18.061 0.015 
 16339 56452.751003 r 18.118 0.012 
 16339 56452.751804 r 18.143 0.017 
 16339 56452.752352 r 18.121 0.014 
 16339 56453.464556 r 17.903 0.032 
 16339 56453.465704 r 18.019 0.025 
 16339 56453.567081 r 17.783 0.011 
 16339 56453.567781 r 17.813 0.015 
 16339 56453.568211 r 17.796 0.018 
 16339 56453.574528 r 17.776 0.011 
 16339 56453.575206 r 17.798 0.016 
 16339 56453.575657 r 17.821 0.015 
 16339 56453.678173 r 18.244 0.026 
 16339 56453.678605 r 17.799 0.020 
 16339 56453.747565 r 18.109 0.017 
 16339 56453.748378 r 18.114 0.025 
 16339 56453.748937 r 18.102 0.034 
 16339 56465.454568 r 18.046 0.022 
 16339 56465.455249 r 18.018 0.036 
 16339 56465.455691 r 18.021 0.031 
 16339 56465.462665 r 18.043 0.018 
 16339 56465.463356 r 18.076 0.029 
 16339 56465.463783 r 18.056 0.028 
 16339 56467.462713 r 18.098 0.019 
 16339 56467.463393 r 18.073 0.025 
 16339 56451.719126 i 17.989 0.017 
 16339 56451.719677 i 18.024 0.017 
 16339 56452.497345 i 18.049 0.014 
 16339 56452.497785 i 18.077 0.017 
 16339 56452.611183 i 17.861 0.014 
 16339 56452.611621 i 17.860 0.015 
 16339 56452.699593 i 18.034 0.016 
 16339 56452.700079 i 18.030 0.016 
 16339 56452.752902 i 18.125 0.015 
 16339 56452.753449 i 18.148 0.018 
 16339 56453.466139 i 18.016 0.025 
 16339 56453.466599 i 18.164 0.074 
 16339 56453.473140 i 18.084 0.104 
 16339 56453.478647 i 17.700 0.108 
 16339 56453.568639 i 18.030 0.023 
 16339 56453.569078 i 17.739 0.021 
 16339 56453.576087 i 17.899 0.016 
 16339 56453.576522 i 17.857 0.013 
 16339 56453.679063 i 18.079 0.014 
 16339 56453.749491 i 18.428 0.105 
 16339 56465.456542 i 18.148 0.039 
 16339 56465.464214 i 18.109 0.027 
 16339 56465.464655 i 18.107 0.029 
 16339 56467.464288 i 18.103 0.028 
 16339 56467.464715 i 18.138 0.030 
 16339 56451.720223 z 17.984 0.028 
 16339 56451.720708 z 17.938 0.022 
 16339 56452.498233 z 18.068 0.020 
 16339 56452.498661 z 18.051 0.018 
 16339 56452.612057 z 17.877 0.017 
 16339 56452.612487 z 17.856 0.017 
 16339 56452.700608 z 18.035 0.018 
 16339 56452.701148 z 18.030 0.019 
 16339 56452.753959 z 18.153 0.023 
 16339 56452.754501 z 18.172 0.025 
 16339 56453.479073 z 17.867 0.034 
 16339 56453.569520 z 17.847 0.020 
 16339 56453.569950 z 17.866 0.017 
 16339 56453.576983 z 17.875 0.020 
 16339 56453.577412 z 17.862 0.018 
 16339 56453.680353 z 18.134 0.023 
 16339 56453.750520 z 17.962 0.116 
 16339 56453.751075 z 18.142 0.058 
 16339 56465.456974 z 18.053 0.047 
 16339 56465.457415 z 18.105 0.062 
 16339 56465.465093 z 18.085 0.035 
 16339 56465.465539 z 18.012 0.031 
